Name,Poster Code,Latitude,Longitude
Sainsbury's,W2 4QH,51.512111,-0.187902
Sainsbury's,NW6 1SG,51.549749,-0.191152
Sainsbury's,SW11 1TQ,51.460155,-0.177008
Sainsbury's,W14 8TG,51.492578,-0.207144
Sainsbury's,EN2 6JG,51.645564,-0.080757
Sainsbury's,N7 9DS,51.553493,-0.113687
Sainsbury's,NW1 2HS,51.528664,-0.133296
Sainsbury's,W13 9QU,51.500491,-0.315065
Sainsbury's,W9 3RU,51.524116,-0.20073
Sainsbury's,W1T 7NE,51.52421,-0.136956
Sainsbury's,SW6 5HU,51.472959,-0.208393
Sainsbury's,W14 8NS,51.497065,-0.205326
Sainsbury's,SW2 1QW,51.455632,-0.119537
Sainsbury's,W10 6HJ,51.517391,-0.210263
Sainsbury's,EC1R 5DG,51.522239,-0.109976
Sainsbury's,IG8 0HQ,51.607958,0.033989
Sainsbury's,E1 7EZ,51.516877,-0.076644
Sainsbury's,TW9 1DN,51.462265,-0.302596
Sainsbury's,E10 5QN,51.559313,-0.008217
Sainsbury's,SW20 8QY,51.410619,-0.229534
Sainsbury's,SE1 8LL,51.502675,-0.107991
Sainsbury's,E8 4RP,51.534908,-0.057516
Sainsbury's,E8 1GR,51.544354,-0.05567
Sainsbury's,N4 2JF,51.564143,-0.103233
Sainsbury's,N15 3PB,51.58587,-0.092209
Sainsbury's,N17 8AD,51.600702,-0.068224
Sainsbury's,W3 6AX,51.508406,-0.267017
Sainsbury's,W1T 1BJ,51.517607,-0.131817
Sainsbury's,WC2B 6NH,51.517238,-0.120561
Sainsbury's,W1J 8LT,51.507843,-0.143749
Sainsbury's,SW8 1SP,51.485615,-0.123604
Sainsbury's,DA7 6HJ,51.467178,0.158211
Sainsbury's,SE8 3BN,51.480795,-0.021318
Sainsbury's,SE12 0DU,51.432816,0.021021
Sainsbury's,SE25 4PJ,51.396103,-0.069398
Sainsbury's,KT2 7AZ,51.412517,-0.283378
Sainsbury's,SW19 6NL,51.444452,-0.207216
Sainsbury's,SW4 9NG,51.454166,-0.139863
Sainsbury's,SW17 7EB,51.444708,-0.166841
Sainsbury's,SW13 9LW,51.473589,-0.249523
Sainsbury's,E11 1HG,51.568244,0.009099
Sainsbury's,WC2N 5HY,51.508776,-0.124454
Sainsbury's,SW1V 1BZ,51.492642,-0.140775
Sainsbury's,EC3V 3PL,#N/A,#N/A
Sainsbury's,SW3 3DH,51.49197,-0.165479
